trade_id,amount,currency
1,38743,USD
2,5004,GBP
3,37511,EUR
4,16647,USD
5,32970,USD
6,25549,USD
7,24438,USD
8,30909,USD
9,16762,USD
10,30159,GBP
11,14077,GBP
12,25106,GBP
13,37453,GBP
14,47473,USD
15,35492,USD
16,34347,EUR
17,11318,EUR
18,3207,USD
19,41916,EUR
20,10845,USD
21,21776,GBP
22,20327,EUR
23,47377,USD
24,38730,EUR
25,38836,USD
26,27935,EUR
27,9997,EUR
28,1980,GBP
29,476,GBP
30,24473,USD
31,37225,GBP
32,19524,GBP
33,14704,EUR
34,29487,GBP
35,38675,EUR
36,32638,EUR
37,34347,EUR
38,18857,EUR
39,10145,EUR
40,434,GBP
41,14505,USD
42,4019,USD
43,46111,EUR
44,13195,GBP
45,7461,USD
46,41096,EUR
47,38680,USD
48,40408,USD
49,32718,USD
50,22568,EUR
51,26139,EUR
52,30353,EUR
53,6790,GBP
54,39191,GBP
55,11664,USD
56,26665,EUR
57,32103,GBP
58,37308,USD
59,31942,EUR
60,18150,USD
61,6988,GBP
62,17310,EUR
63,4866,GBP
64,25978,EUR
65,24939,EUR
66,11419,GBP
67,30152,GBP
68,44274,USD
69,43247,USD
70,23739,EUR
71,47476,EUR
72,46444,EUR
73,28197,GBP
74,48140,EUR
75,2235,USD
76,48479,GBP
77,34736,USD
78,27977,GBP
79,49451,GBP
80,20700,EUR
81,39338,EUR
82,44069,USD
83,30857,EUR
84,6088,EUR
85,20691,GBP
86,17244,EUR
87,46854,USD
88,2943,EUR
89,6217,EUR
90,33164,GBP
91,13157,EUR
92,4181,GBP
93,4289,GBP
94,607,GBP
95,8038,GBP
96,32715,GBP
97,9269,USD
98,27005,USD
99,32606,EUR
100,4949,EUR
101,43048,USD
102,35930,USD
103,1006,EUR
104,17303,EUR
105,30794,GBP
106,8019,EUR
107,18929,EUR
108,6345,GBP
109,23996,USD
110,20677,EUR
111,3084,USD
112,7019,GBP
113,7847,EUR
114,3578,USD
115,4596,GBP
116,39056,EUR
117,5513,GBP
118,45398,GBP
119,10554,GBP
120,42083,EUR
121,46974,USD
122,492,USD
123,29774,GBP
124,33695,EUR
125,31842,EUR
126,46779,GBP
127,1941,USD
128,6045,GBP
129,13559,EUR
130,46116,GBP
131,2188,GBP
132,36343,USD
133,25847,USD
134,31097,USD
135,43256,GBP
136,43870,USD
137,40370,USD
138,12177,EUR
139,39368,USD
140,40751,USD
141,13730,EUR
142,38820,USD
143,28357,USD
144,10596,USD
145,34924,EUR
146,10981,USD
147,36783,USD
148,1656,GBP
149,23153,USD
150,17921,GBP
151,38669,USD
152,41225,USD
153,37896,GBP
154,40257,GBP
155,48187,USD
156,37551,USD
157,5605,EUR
158,4642,EUR
159,5791,GBP
160,22472,EUR
161,25596,EUR
162,7108,USD
163,49628,EUR
164,36506,EUR
165,30419,GBP
166,14868,USD
167,1220,USD
168,28229,USD
169,14115,GBP
170,12695,USD
171,33957,EUR
172,12789,EUR
173,12936,GBP
174,36193,GBP
175,3881,USD
176,2805,EUR
177,37590,EUR
178,49692,EUR
179,13425,EUR
180,13349,EUR
181,22155,EUR
182,12274,USD
183,48749,EUR
184,45601,USD
185,21527,GBP
186,19791,USD
187,2088,EUR
188,43267,EUR
189,10382,EUR
190,32134,GBP
191,40580,USD
192,19803,EUR
193,41476,USD
194,37771,EUR
195,45342,EUR
196,10551,EUR
197,35988,USD
198,800,USD
199,36626,USD
200,32981,GBP
201,20447,GBP
202,10685,EUR
203,38623,USD
204,40526,EUR
205,37074,USD
206,19490,EUR
207,27876,EUR
208,34567,USD
209,49570,GBP
210,33151,EUR
211,19488,USD
212,39482,EUR
213,48000,GBP
214,22479,EUR
215,18857,EUR
216,31327,USD
217,20115,USD
218,34565,EUR
219,38399,GBP
220,32077,USD
221,13550,EUR
222,37303,EUR
223,43481,EUR
224,1147,GBP
225,29785,GBP
226,48499,EUR
227,20916,EUR
228,8153,USD
229,37148,USD
230,747,EUR
231,2010,USD
232,24246,GBP
233,18633,USD
234,13845,USD
235,29729,EUR
236,20387,USD
237,34070,USD
238,7882,GBP
239,24062,GBP
240,14129,GBP
241,32006,EUR
242,19457,GBP
243,9788,EUR
244,42086,EUR
245,17527,GBP
246,9081,GBP
247,26467,EUR
248,29732,EUR
249,11825,GBP
250,43804,GBP
251,21636,EUR
252,10247,EUR
253,33363,GBP
254,29937,USD
255,48129,EUR
256,44723,GBP
257,36819,EUR
258,18898,GBP
259,16523,EUR
260,27851,EUR
261,38539,USD
262,37757,EUR
263,17534,GBP
264,5049,EUR
265,20592,EUR
266,4627,GBP
267,28883,USD
268,48034,GBP
269,43161,USD
270,47740,EUR
271,6734,GBP
272,40154,GBP
273,46291,EUR
274,6794,GBP
275,22824,GBP
276,2426,EUR
277,36117,GBP
278,21286,USD
279,22127,USD
280,26267,EUR
281,10047,USD
282,48580,GBP
283,33963,GBP
284,16571,GBP
285,33218,GBP
286,12474,GBP
287,15856,GBP
288,34766,USD
289,31948,GBP
290,29330,EUR
291,28591,GBP
292,13625,EUR
293,18688,GBP
294,10221,GBP
295,44610,USD
296,4427,GBP
297,47196,GBP
298,32740,GBP
299,48110,EUR
300,48040,GBP
301,3782,EUR
302,39621,GBP
303,49452,GBP
304,43206,EUR
305,13170,GBP
306,10097,USD
307,13703,EUR
308,45243,EUR
309,34232,GBP
310,13306,GBP
311,45799,USD
312,25453,EUR
313,40522,GBP
314,46644,GBP
315,20238,GBP
316,26804,USD
317,47145,GBP
318,11927,EUR
319,31351,USD
320,19615,EUR
321,8299,USD
322,30226,GBP
323,32785,GBP
324,41047,USD
325,46139,EUR
326,40148,EUR
327,1435,GBP
328,18910,EUR
329,29920,USD
330,26109,GBP
331,47174,GBP
332,3824,USD
333,24296,USD
334,17427,GBP
335,4274,EUR
336,2195,EUR
337,40811,GBP
338,853,USD
339,18644,GBP
340,33590,GBP
341,20198,EUR
342,1688,EUR
343,36128,GBP
344,23276,USD
345,21801,EUR
346,11042,GBP
347,17503,EUR
348,26370,GBP
349,25994,EUR
350,29601,USD
351,9521,EUR
352,12388,EUR
353,18306,USD
354,39312,USD
355,12328,GBP
356,15407,GBP
357,41886,GBP
358,47337,GBP
359,47146,GBP
360,23918,USD
361,45182,EUR
362,17245,USD
363,49204,USD
364,31740,GBP
365,27840,GBP
366,18585,USD
367,38845,GBP
368,29003,USD
369,14897,USD
370,15111,USD
371,41631,EUR
372,32172,USD
373,4599,EUR
374,15285,GBP
375,27351,GBP
376,3162,GBP
377,428,EUR
378,21257,USD
379,19453,GBP
380,19082,GBP
381,16927,GBP
382,7273,GBP
383,8835,USD
384,19595,GBP
385,2418,EUR
386,30996,EUR
387,25440,EUR
388,21038,EUR
389,13002,EUR
390,11238,GBP
391,46793,GBP
392,789,EUR
393,9033,EUR
394,7426,USD
395,3611,GBP
396,11244,GBP
397,12754,USD
398,5081,EUR
399,7159,GBP
400,16788,EUR
401,23674,EUR
402,28386,GBP
403,10819,USD
404,30872,USD
405,47788,EUR
406,8516,USD
407,16344,EUR
408,34219,USD
409,16893,USD
410,7030,EUR
411,45687,USD
412,24155,USD
413,1604,USD
414,43383,GBP
415,23108,USD
416,44073,EUR
417,36702,GBP
418,1093,USD
419,35722,USD
420,30262,EUR
421,1643,EUR
422,22776,USD
423,30548,EUR
424,38415,EUR
425,15268,USD
426,6949,GBP
427,13892,GBP
428,14402,EUR
429,42643,GBP
430,14984,EUR
431,34232,EUR
432,29603,EUR
433,23482,GBP
434,7111,EUR
435,36604,USD
436,32144,USD
437,33692,GBP
438,25911,EUR
439,13204,GBP
440,39261,USD
441,20141,GBP
442,19456,GBP
443,17106,GBP
444,4864,GBP
445,9662,EUR
446,15407,EUR
447,20255,GBP
448,14168,EUR
449,35578,EUR
450,20763,USD
451,36950,GBP
452,28071,EUR
453,10998,USD
454,18952,USD
455,24465,GBP
456,2156,USD
457,19045,GBP
458,45880,GBP
459,32749,GBP
460,31342,USD
461,35605,GBP
462,8409,USD
463,49496,USD
464,33978,USD
465,38142,USD
466,42640,GBP
467,24988,USD
468,4729,USD
469,32246,EUR
470,39944,EUR
471,23862,EUR
472,16338,GBP
473,11227,GBP
474,43094,GBP
475,22407,GBP
476,10311,GBP
477,43178,GBP
478,32834,GBP
479,16136,GBP
480,49192,USD
481,17048,USD
482,49477,EUR
483,46924,GBP
484,20977,GBP
485,33998,GBP
486,12220,EUR
487,17402,GBP
488,14368,GBP
489,16782,EUR
490,12878,EUR
491,35117,GBP
492,3341,EUR
493,39885,GBP
494,699,USD
495,42580,USD
496,36023,EUR
497,24019,EUR
498,12379,GBP
499,47884,USD
500,35399,GBP
501,48714,GBP
502,36840,USD
503,16054,EUR
504,29937,USD
505,10912,USD
506,3656,GBP
507,30293,EUR
508,24742,GBP
509,28804,GBP
510,34999,USD
511,42719,USD
512,10405,EUR
513,797,EUR
514,10878,EUR
515,27269,EUR
516,29989,EUR
517,566,GBP
518,38043,GBP
